"site","stade","type","small_log","rock","ground","big_log"
1,"1","AF",0,0,1,0
2,"1","AF",0,1,1,0
3,"2","AF",1,0,4,0
4,"3","AF",2,0,1,0
5,"2","AF",0,0,0,0
6,"1","AF",0,0,0,0
7,"3","AF",1,0,1,0
8,"3","AF",1,0,3,1
9,"2","AF",0,0,1,0
10,"3","AF",1,0,2,0
11,"1","AF",0,0,0,0
12,"1","AF",0,0,0,0
14,"2","AF",1,0,0,0
15,"2","AF",0,0,1,0
16,"3","AF",1,0,0,0
17,"2","AF",0,0,0,0
18,"2","AF",0,1,3,1
19,"1","AF",0,0,1,0
20,"1","AF",0,0,0,0
21,"1","AF",0,0,0,0
22,"2","AF",1,0,0,0
23,"2","PL",0,0,0,0
24,"2","PL",0,0,0,0
25,"2","PL",0,0,0,0
26,"2","PL",0,0,0,0
27,"3","PL",0,0,0,0
28,"3","PL",0,0,0,0
29,"3","PL",0,0,0,0
30,"3","PL",1,0,0,0
31,"3","PL",0,0,0,0
32,"3","PL",1,0,0,0
33,"3","PL",0,0,0,0
34,"2","PL",0,0,0,0
35,"1","PL",0,0,0,0
36,"3","PL",0,0,0,0
37,"2","PL",0,0,0,0
38,"3","PL",0,0,0,0
39,"1","PL",0,0,0,0
40,"1","PL",0,0,0,0
41,"1","PL",0,0,0,0
